Name,Team,Pos,Opp,Salary,SS Proj,Own,Adj Own,p25,p50,p75,p85,p95,p99,Status
Carsen Ryan,CLE,TE,vs CAR,2500,0.46,0.03,0.01,0.0,0.0,0.0,1.3,2.6,8.1,
Braxton Berrios,NYG,WR,vs TEN,3000,0.46,,0.00,0.0,0.0,0.0,1.3,2.7,7.4,
Kaden Wetjen,PIT,WR,vs CIN,3000,0.45,0.03,0.01,0.0,0.0,0.0,1.4,2.6,5.8,
Michael Burton,CLE,RB,vs CAR,4000,0.44,,0.00,0.0,0.0,0.0,1.3,2.2,7.8,
Tom Kennedy,DET,WR,vs NYJ,3000,0.38,0.02,0.02,0.0,0.0,0.0,0.0,2.2,7.5,
Brashard Smith,KC,RB,at MIA,4000,0.38,,0.00,0.0,0.0,0.4,0.7,1.6,6.8,
Jaylin Lane,WAS,WR,vs SEA,3000,0.35,0.01,0.01,0.0,0.0,0.0,0.0,2.3,5.6,
Corey Kiner,NE,RB,at JAX,4000,0.32,0.01,0.00,0.0,0.0,0.3,0.5,1.3,6.7,
Jacob Saylors,DET,RB,vs NYJ,4000,0.28,,0.00,0.0,0.0,0.1,0.4,1.2,6.8,
Tahj Brooks,CIN,RB,at PIT,4000,0.22,,0.00,0.0,0.0,0.0,0.3,0.9,6.4,
Isaiah Davis,NYJ,RB,at DET,4000,0.20,,0.00,0.0,0.0,0.0,0.3,1.0,6.2,
Rasheen Ali,BAL,RB,at DAL,4000,0.19,,0.00,0.0,0.0,0.0,0.3,0.9,3.6,
Tyrone Tracy Jr.,NYG,RB,vs TEN,4100,0.15,,0.00,0.0,0.0,0.0,0.3,0.8,2.2,
Bam Knight,ARI,RB,at SF,4000,0.15,,0.00,0.0,0.0,0.0,0.2,0.7,3.3,
Andrei Iosivas,CIN,WR,at PIT,3000,0.00,0.09,0.03,0.0,2.5,5.1,7.5,11.5,16.3,O
Hayden Rucci,LAC,TE,at BUF,2500,0.00,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,
Brenen Thompson,LAC,WR,at BUF,3000,0.00,0.05,0.02,0.0,1.2,2.9,4.2,8.7,13.0,O
Barion Brown,NO,WR,vs LV,3000,0.00,0.04,0.01,0.0,0.0,0.5,1.6,3.6,8.6,O
