Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
72,5262703020,iLLmaculatee (16/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Juwan Johnson,TE,1.53%,10.6
72,5262703021,iLLmaculatee (17/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Jordan Love,QB,1.48%,13.8
72,5262703022,iLLmaculatee (18/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Dontayvion Wicks,WR,1.46%,12.4
72,5262703023,iLLmaculatee (19/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Jalen Hurts,QB,1.45%,18.16
72,5262703024,iLLmaculatee (20/20),0,187.48,DST Patriots  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Matthew Golden WR Devaughn Vele,,Tee Higgins,WR,1.44%,14.5
92,5261382982,korndawg21,0,186.95999,DST Buccaneers  FLEX Demarcus Robinson QB Dak Prescott RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Devaughn Vele,,Raiders ,DST,1.44%,12
93,5259513262,tuneo252,0,186.40001,DST Jaguars  FLEX Dalton Schultz QB Drew Lock RB Omarion Hampton RB Bucky Irving TE Trey McBride WR Jaxon Smith-Njigba WR Ja'Marr Chase WR Devaughn Vele,,Jacory Croskey-Merritt,RB,1.43%,5.8
94,5262784194,hadd1bd,0,186.28,DST Panthers  FLEX Parker Washington QB Brock Purdy RB Christian McCaffrey RB Aaron Jones Sr. TE Dalton Schultz WR Ja'Marr Chase WR Garrett Wilson WR DK Metcalf,,Antonio Williams,WR,1.41%,5.4
95,5260000309,outlaw4681,0,186.06,DST Panthers  FLEX Ashton Jeanty QB Dak Prescott RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR Garrett Wilson WR Devaughn Vele,,Bucky Irving,FLEX,1.29%,13
96,5262490543,BallsDeep1975 (1/2),0,185.95998,DST Panthers  FLEX DeMario Douglas QB Dak Prescott RB Derrick Henry RB Aaron Jones Sr. TE Mark Andrews WR Jaxon Smith-Njigba WR CeeDee Lamb WR Quentin Johnston,,Chargers ,DST,1.28%,4
